1111111111111;Diverse;1;;1;Diverse;0;;;;01-02-16;
2910000000017;Plõk U-Form 50 cm;300012;;19;Plõk U-Form 50 cm;6,954;13-051;189903;PERMANENT;;
056389007154;Plõkoptager;300067;;19;Plõkoptager;9,58239;380715;189903;PERMANENT;11-08-10;
2920000000023;Plõkoptager i Pose;300067;;19;Plõkoptager;9,58239;380715;189903;PERMANENT;11-08-10;
300067;Plõkoptager i Pose;300067;;19;Plõkoptager;9,58239;380715;189903;PERMANENT;;
5705959140009;Plõkoptager i Pose;300067;;19;Plõkoptager;9,58239;380715;189903;PERMANENT;;
2920000000047;Bardunstrammere 3-hul 10stk;300092;;29;Bardunstrammere 3-hul 10stk;12,78447;011541;189904;PERMANENT;12-08-10;
300092;Bardunstrammere 3-hul 10stk;300092;;29;Bardunstrammere 3-hul 10stk;12,78447;011541;189904;PERMANENT;;
4021504139894;Bardunstrammere 3-hul 10stk;300092;;29;Bardunstrammere 3-hul 10stk;12,78447;011541;189904;PERMANENT;12-08-10;
5705959172000;Bardunstrammere 3-hul 10stk;300092;;29;Bardunstrammere 3-hul 10stk;12,78447;011541;189904;PERMANENT;;
2920000000061;Teltstang StÜl 200cm;300178;;169;Teltstang StÜl 200cm;79,325;10-200;189902;PERMANENT;25-09-07;
300178;Teltstang StÜl 200cm;300178;;169;Teltstang StÜl 200cm;79,325;10-200;189902;PERMANENT;;
5705959102007;Teltstang StÜl 200cm;300178;;169;Teltstang StÜl 200cm;79,325;10-200;189902;PERMANENT;;
2920000000108;Jordtallerkner 2stk i Pose;300234;;15;Jordtallerkner 2stk i Pose;5;20-016;189905;PERMANENT;12-08-10;
300234;Jordtallerkner 2stk i Pose;300234;;15;Jordtallerkner 2stk i Pose;5;20-016;189905;PERMANENT;;
5705959200161;Jordtallerkner 2stk i Pose;300234;;15;Jordtallerkner 2stk i Pose;5;20-016;189905;PERMANENT;;
2920000000115;Overligger StÜl 150cm;300274;;139;Overligger StÜl 150cm;60,79167;11-015;189902;PERMANENT;25-09-07;
300274;Overligger StÜl 150cm;300274;;139;Overligger StÜl 150cm;60,79167;11-015;189902;PERMANENT;;
5705959110156;Overligger StÜl 150cm;300274;;139;Overligger StÜl 150cm;60,79167;11-015;189902;PERMANENT;;
056389080492;Luftmadras Prop Lille 3stk;300365;;15;Luftmadras Prop Lille 3stk;4,34532;388049;129907;PERMANENT;09-08-10;
2920000000122;Luftmadras Prop Lille 3stk;300365;;15;Luftmadras Prop Lille 3stk;4,34532;388049;129907;PERMANENT;09-08-10;
300365;Luftmadras Prop Lille 3stk;300365;;15;Luftmadras Prop Lille 3stk;4,34532;388049;129907;PERMANENT;03-11-09;
5705959201502;Luftmadras Prop Lille 3stk;300365;;15;Luftmadras Prop Lille 3stk;4,34532;388049;129907;PERMANENT;03-11-09;
2910000000192;ARNO Scout Pakremme 50cm/2stk;300901;;30;ARNO Scout Pakremme 50cm/2stk;9,58382;74405-D61;119902;F16;;
300901;ARNO Scout Pakremme 50cm/2stk;300901;;30;ARNO Scout Pakremme 50cm/2stk;9,58382;74405-D61;119902;F16;;
5707465006169;ARNO Scout Pakremme 50cm/2stk;300901;;30;ARNO Scout Pakremme 50cm/2stk;9,58382;74405-D61;119902;F16;05-11-15;
2910000000215;ARNO Scout Pakremme 75cm/2stk;300916;;35;ARNO Scout Pakremme 75cm/2stk;10,43625;74407-D61;119902;F16;;
300916;ARNO Scout Pakremme 75cm/2stk;300916;;35;ARNO Scout Pakremme 75cm/2stk;10,43625;74407-D61;119902;F16;;
5707465006176;ARNO Scout Pakremme 75cm/2stk;300916;;35;ARNO Scout Pakremme 75cm/2stk;10,43625;74407-D61;119902;F16;05-11-15;
2910000000239;ARNO Scout Pakremme 100cm/2stk;300921;;40;ARNO Scout Pakremme 100cm/2stk;11,4;74410-D61;119902;F16;11-08-10;
300921;ARNO Scout Pakremme 100cm/2stk;300921;;40;ARNO Scout Pakremme 100cm/2stk;11,4;74410-D61;119902;F16;;
5707465006145;ARNO Scout Pakremme 100cm/2stk;300921;;40;ARNO Scout Pakremme 100cm/2stk;11,4;74410-D61;119902;F16;05-11-15;
2910000000253;ARNO Scout Pakremme 150cm/2stk;300936;;45;ARNO Scout Pakremme 150cm/2stk;13,448;74415-D61;119902;F16;;
300936;ARNO Scout Pakremme 150cm/2stk;300936;;45;ARNO Scout Pakremme 150cm/2stk;13,448;74415-D61;119902;F16;;
5707465006152;ARNO Scout Pakremme 150cm/2stk;300936;;45;ARNO Scout Pakremme 150cm/2stk;13,448;74415-D61;119902;F16;05-11-15;
2920000000146;HULTAFORS Spejderõkse 37,5cm;301004;;449;HULTAFORS Spejderõkse 37,5cm;178,03;840025 H006;150104;PERMANENT;09-08-10;
301004;HULTAFORS Spejderõkse 37,5cm;301004;;449;HULTAFORS Spejderõkse 37,5cm;178,03;840025 H006;150104;PERMANENT;;
7391408400251;HULTAFORS Spejderõkse 37,5cm;301004;;449;HULTAFORS Spejderõkse 37,5cm;178,03;840025 H006;150104;PERMANENT;;
2910000000314;Bõjlesav Stor;301044;;69;Bõjlesav Stor;29,90167;97453;150202;V15/16;09-08-10;
4010468204717;Bõjlesav Stor;301044;;69;Bõjlesav Stor;29,90167;97453;150202;V15/16;09-08-10;
5709386440992;Bõjlesav Stor;301044;;69;Bõjlesav Stor;29,90167;97453;150202;V15/16;09-08-10;
5709386974534;Bõjlesav Stor;301044;;69;Bõjlesav Stor;29,90167;97453;150202;V15/16;16-05-13;
2920000000160;Bõjlesav lille;301115;;59;Bõjlesav lille;26;97452;150202;V15/16;09-10-13;
4010468575282;Bõjlesav lille;301115;;59;Bõjlesav lille;26;97452;150202;V15/16;09-10-13;
2910000000772;Londonblok Enkelt 60mm 75kg;302203;;399;Londonblok Enkelt 60mm 75kg;165,79667;1 - 60 mm;150302;PERMANENT;;
302203;Londonblok Enkelt 60mm 75kg;302203;;399;Londonblok Enkelt 60mm 75kg;165,79667;1 - 60 mm;150302;PERMANENT;;
2910000000796;Londonblok Enkelt 100mm 250kg;302218;;599;Londonblok Enkelt 100mm 250kg;295,945;1 - 100 mm;150302;PERMANENT;;
302218;Londonblok Enkelt 100mm 250kg;302218;;599;Londonblok Enkelt 100mm 250kg;295,945;1 - 100 mm;150302;PERMANENT;;
2910000000819;Londonblok Dobbelt 60mm 100kg;302223;;499;Londonblok Dobbelt 60mm 100kg;203,93667;2 - 60 mm;150302;PERMANENT;;
302223;Londonblok Dobbelt 60mm 100kg;302223;;499;Londonblok Dobbelt 60mm 100kg;203,93667;2 - 60 mm;150302;PERMANENT;;
2910000000833;Londonblok Dobbelt 100mm 500kg;302238;;799;Londonblok Dobbelt 100mm 500kg;349,905;2 - 100 mm;150302;PERMANENT;;
302238;Londonblok Dobbelt 100mm 500kg;302238;;799;Londonblok Dobbelt 100mm 500kg;349,905;2 - 100 mm;150302;PERMANENT;;
2910000000857;Londonblok 3-Dbl 60mm 150kg;302243;;649;Londonblok 3-Dbl. 60 mm 150kg;251,49875;3 - 60 mm;150302;PERMANENT;;
302243;Londonblok 3-Dbl. 60 mm 150kg;302243;;649;Londonblok 3-Dbl. 60 mm 150kg;251,49875;3 - 60 mm;150302;PERMANENT;;
2910000000871;Londonblok 3-Dbl 100mm 1000kg;302258;;1099;Londonblok 3-Dbl 100mm 1000kg;473,425;3 - 100 mm;150302;PERMANENT;;
